Component,Quantity,Unit Price (USD),Product URL
Flexible 16x16 NeoPixel RGB LED Matrix,1,9,https://www.aliexpress.com/item/1005003901833984.html?spm=a2g0o.productlist.main.8.62fefUo2fUo2HF&aem_p4p_detail=202608270706111723653140876400001118648&algo_pvid=d0d283eb-420a-4225-9b62-80c95a406c65&algo_exp_id=d0d283eb-420a-4225-9b62-80c95a406c65-7&pdp_ext_f=%7B%22order%22%3A%222143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.84%213.26%21%21%2125.68%2121.83%21%402140cf5017878395717544051e0e74%2112000027422179761%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=ZZG4hwHSGnFo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003901833984%7C_p_origin_prod%3A&search_p4p_id=202608270706111723653140876400001118648_2
ESP32-WROOM-32,1,6,https://www.aliexpress.com/item/33050337615.html?spm=a2g0o.productlist.main.3.cae06268L5CvDd&algo_pvid=04fce1bf-7644-4cf0-9c43-b89324992014&algo_exp_id=04fce1bf-7644-4cf0-9c43-b89324992014-2&pdp_ext_f=%7B%22order%22%3A%22303%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.01%214.01%21%21%214.01%214.01%21%40212e37e817881540680547657e1011%2167509280013%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=FKexapiNrazp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33050337615%7C_p_origin_prod%3A
Black LED Diffusion Acrylic Panel 12 x 12 - 2.6mm,1,6,https://www.aliexpress.com/item/1005004967054575.html?spm=a2g0o.productlist.main.1.683d104faL8Ev0&algo_pvid=8a6c50a0-1544-4e49-9324-2478c8ebd6ab&algo_exp_id=8a6c50a0-1544-4e49-9324-2478c8ebd6ab-0&pdp_ext_f=%7B%22order%22%3A%22662%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.97%213.97%21%21%213.97%213.97%21%402102f7bd17878398137443226e0deb%2112000031184963205%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=s7XI3nJbx4EO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004967054575%7C_p_origin_prod%3A
STEMMA JST PH 2mm 3-Pin to Male Header Cable - 200mm,1,1.25,https://www.aliexpress.com/item/1005010521591320.html?spm=a2g0o.productlist.main.2.2b1e751eMzEAaX&algo_pvid=d2c5fede-981d-42e1-b784-31cdde0fff29&algo_exp_id=d2c5fede-981d-42e1-b784-31cdde0fff29-1&pdp_ext_f=%7B%22order%22%3A%22890%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.44%212.32%21%21%2116.30%2115.48%21%402101364a17878399008234976e0f9f%2112000052682673715%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=JzLczT8vxpuK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010521591320%7C_p_origin_prod%3A
JST PH 2mm 3-Pin Socket to Color Coded Cable - 200mm,1,3,https://www.aliexpress.com/item/1005010521591320.html?spm=a2g0o.productlist.main.2.2b1e751eMzEAaX&algo_pvid=d2c5fede-981d-42e1-b784-31cdde0fff29&algo_exp_id=d2c5fede-981d-42e1-b784-31cdde0fff29-1&pdp_ext_f=%7B%22order%22%3A%22890%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.44%212.32%21%21%2116.30%2115.48%21%402101364a17878399008234976e0f9f%2112000052682673715%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=JzLczT8vxpuK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010521591320%7C_p_origin_prod%3A
Black Nylon Machine Screw and Stand-off Set - M2.5 Thread,1,3,https://www.aliexpress.com/item/1005012768812211.html?spm=a2g0o.productlist.main.1.35f0rKhrrKhro0&algo_pvid=dbdf53c2-9437-49de-b7a1-6e4e42f7b383&algo_exp_id=dbdf53c2-9437-49de-b7a1-6e4e42f7b383-0&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.61%213.61%21%21%2124.10%2124.10%21%40212a6df517878399993347659e0c4f%2112000059270059133%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=2NIQYpsG7G1R&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012768812211%7C_p_origin_prod%3A
Pink and Purple Woven USB A to USB C Cable - 2 meters,1,2,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.3.499eYVoYYVoYIZ&productIds=1005008494569058:12000045396663358&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008494569058%7C_p_origin_prod%3A&pvid=c144f255-fe48-45d0-b89d-274531f64f73
74AHCT125,1,5,https://www.aliexpress.com/item/1005012698716814.html?spm=a2g0o.productlist.main.3.728a61cfAcDnSk&algo_pvid=46ef4cff-2c51-466a-8f79-3457a61a7af1&algo_exp_id=46ef4cff-2c51-466a-8f79-3457a61a7af1-2&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.15%214.58%21%21%2161.18%2130.59%21%400be71e1917881541794577134e0d55%2112000059072671649%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=ZHdj8GMJHjQv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012698716814%7C_p_origin_prod%3A
CH340C,1,5,https://www.aliexpress.com/item/1005009751056321.html?spm=a2g0o.productlist.main.2.27dc44c37pHuvg&algo_pvid=93058118-20a2-497b-b412-7e02105e9cd6&algo_exp_id=93058118-20a2-497b-b412-7e02105e9cd6-1&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.10%215.10%21%21%215.10%215.10%21%402102f7bd17881542584863193e0f98%2112000050045449734%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=WTwREXOZFUJY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009751056321%7C_p_origin_prod%3A
AP2112K-3.3,1,3,https://www.aliexpress.com/item/1005005807114594.html?spm=a2g0o.productlist.main.1.74911dc84eMcrz&algo_pvid=88d07643-decd-4f6f-b768-906eb413eb2c&algo_exp_id=88d07643-decd-4f6f-b768-906eb413eb2c-0&pdp_ext_f=%7B%22order%22%3A%22517%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.65%212.65%21%21%212.65%212.65%21%4021410daa17881543164572150e1034%2112000034419028088%21sea%21PK%216216208635%21X%211%210%21n_tag%3A-29911%3Bd%3A6381c87c%3Bm03_new_user%3A-29895&curPageLogUid=2otpah4skVdC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005807114594%7C_p_origin_prod%3A
